(Part 1) Start-of-package marker occurs after 1155 chars 
   1 [h], r (2) 
   2 [h r], b (3) 
   3 [h r b], b (1) 
   4 [b], j (2) 
   5 [b j], l (3) 
   6 [b j l], l (1) 
   7 [l], l (1) 
   8 [l], l (1) 
   9 [l], s (2) 
  10 [l s], p (3) 
  11 [l s p], s (2) 
  12 [p s], s (1) 
  13 [s], b (2) 
  14 [s b], l (3) 
  15 [s b l], s (3) 
  16 [b l s], l (2) 
  17 [s l], v (3) 
  18 [s l v], v (1) 
  19 [v], r (2) 
  20 [v r], d (3) 
  21 [v r d], r (2) 
  22 [d r], b (3) 
  23 [d r b], b (1) 
  24 [b], p (2) 
  25 [b p], b (2) 
  26 [p b], b (1) 
  27 [b], m (2) 
  28 [b m], c (3) 
  29 [b m c], c (1) 
  30 [c], c (1) 
  31 [c], f (2) 
  32 [c f], p (3) 
  33 [c f p], p (1) 
  34 [p], v (2) 
  35 [p v], b (3) 
  36 [p v b], b (1) 
  37 [b], w (2) 
  38 [b w], v (3) 
  39 [b w v], b (3) 
  40 [w v b], b (1) 
  41 [b], m (2) 
  42 [b m], r (3) 
  43 [b m r], m (2) 
  44 [r m], j (3) 
  45 [r m j], r (3) 
  46 [m j r], j (2) 
  47 [r j], r (2) 
  48 [j r], f (3) 
  49 [j r f], r (2) 
  50 [f r], g (3) 
  51 [f r g], f (3) 
  52 [r g f], g (2) 
  53 [f g], b (3) 
  54 [f g b], f (3) 
  55 [g b f], f (1) 
  56 [f], g (2) 
  57 [f g], f (2) 
  58 [g f], q (3) 
  59 [g f q], f (2) 
  60 [q f], q (2) 
  61 [f q], l (3) 
  62 [f q l], l (1) 
  63 [l], t (2) 
  64 [l t], l (2) 
  65 [t l], w (3) 
  66 [t l w], t (3) 
  67 [l w t], t (1) 
  68 [t], s (2) 
  69 [t s], c (3) 
  70 [t s c], s (2) 
  71 [c s], n (3) 
  72 [c s n], c (3) 
  73 [s n c], s (3) 
  74 [n c s], c (2) 
  75 [s c], c (1) 
  76 [c], h (2) 
  77 [c h], s (3) 
  78 [c h s], s (1) 
  79 [s], r (2) 
  80 [s r], p (3) 
  81 [s r p], p (1) 
  82 [p], f (2) 
  83 [p f], f (1) 
  84 [f], v (2) 
  85 [f v], w (3) 
  86 [f v w], w (1) 
  87 [w], v (2) 
  88 [w v], v (1) 
  89 [v], p (2) 
  90 [v p], n (3) 
  91 [v p n], n (1) 
  92 [n], w (2) 
  93 [n w], w (1) 
  94 [w], w (1) 
  95 [w], p (2) 
  96 [w p], v (3) 
  97 [w p v], w (3) 
  98 [p v w], v (2) 
  99 [w v], h (3) 
 100 [w v h], h (1) 
 101 [h], n (2) 
 102 [h n], v (3) 
 103 [h n v], h (3) 
 104 [n v h], h (1) 
 105 [h], b (2) 
 106 [h b], t (3) 
 107 [h b t], t (1) 
 108 [t], v (2) 
 109 [t v], z (3) 
 110 [t v z], z (1) 
 111 [z], d (2) 
 112 [z d], l (3) 
 113 [z d l], z (3) 
 114 [d l z], d (3) 
 115 [l z d], l (3) 
 116 [z d l], z (3) 
 117 [d l z], z (1) 
 118 [z], w (2) 
 119 [z w], m (3) 
 120 [z w m], m (1) 
 121 [m], j (2) 
 122 [m j], h (3) 
 123 [m j h], h (1) 
 124 [h], z (2) 
 125 [h z], n (3) 
 126 [h z n], n (1) 
 127 [n], j (2) 
 128 [n j], d (3) 
 129 [n j d], n (3) 
 130 [j d n], n (1) 
 131 [n], n (1) 
 132 [n], q (2) 
 133 [n q], d (3) 
 134 [n q d], d (1) 
 135 [d], b (2) 
 136 [d b], t (3) 
 137 [d b t], d (3) 
 138 [b t d], b (3) 
 139 [t d b], d (2) 
 140 [b d], b (2) 
 141 [d b], s (3) 
 142 [d b s], d (3) 
 143 [b s d], s (2) 
 144 [d s], m (3) 
 145 [d s m], d (3) 
 146 [s m d], s (3) 
 147 [m d s], d (2) 
 148 [s d], r (3) 
 149 [s d r], r (1) 
 150 [r], d (2) 
 151 [r d], p (3) 
 152 [r d p], d (2) 
 153 [p d], w (3) 
 154 [p d w], p (3) 
 155 [d w p], d (3) 
 156 [w p d], p (2) 
 157 [d p], p (1) 
 158 [p], g (2) 
 159 [p g], c (3) 
 160 [p g c], g (2) 
 161 [c g], q (3) 
 162 [c g q], g (2) 
 163 [q g], c (3) 
 164 [q g c], c (1) 
 165 [c], t (2) 
 166 [c t], f (3) 
 167 [c t f], t (2) 
 168 [f t], s (3) 
 169 [f t s], f (3) 
 170 [t s f], s (2) 
 171 [f s], z (3) 
 172 [f s z], s (2) 
 173 [z s], l (3) 
 174 [z s l], l (1) 
 175 [l], j (2) 
 176 [l j], b (3) 
 177 [l j b], l (3) 
 178 [j b l], j (3) 
 179 [b l j], b (3) 
 180 [l j b], j (2) 
 181 [b j], w (3) 
 182 [b j w], b (3) 
 183 [j w b], w (2) 
 184 [b w], b (2) 
 185 [w b], n (3) 
 186 [w b n], w (3) 
 187 [b n w], n (2) 
 188 [w n], q (3) 
 189 [w n q], q (1) 
 190 [q], r (2) 
 191 [q r], n (3) 
 192 [q r n], n (1) 
 193 [n], z (2) 
 194 [n z], t (3) 
 195 [n z t], n (3) 
 196 [z t n], t (2) 
 197 [n t], m (3) 
 198 [n t m], t (2) 
 199 [m t], r (3) 
 200 [m t r], m (3) 
